Date:2026.05.15
Time:18:35:21
File_name:C:\LCR Meter\5мм_большой.csv
Version:2.00
Instrument Version:1.39
***************LIST SETUP***************
Step,Freq,Level,speed,DC Bais,AC-Range,DC-Range,Trig Delay,AC/DC Delay,Average,ALC,RO,1-Func,1-Comp Mode,1-Standard,1-High,1-Low,2-Func,2-Comp Mode,2-Standard,2-High,2-Low,3-Func,3-Comp Mode,3-Standard,3-High,3-Low,4-Func,4-Comp Mode,4-Standard,4-High,4-Low
1,10kHz,2V,SLOW2,0,AUTO,AUTO,0,0,5,OFF,100,Z,OFF,0,0,0,R,OFF,0,0,0,X,OFF,0,0,0,OFF,OFF,0,0,0
2,15kHz,2V,SLOW2,0,AUTO,AUTO,0,0,5,OFF,100,Z,OFF,0,0,0,R,OFF,0,0,0,X,OFF,0,0,0,OFF,OFF,0,0,0
3,20kHz,2V,SLOW2,0,AUTO,AUTO,0,0,5,OFF,100,Z,OFF,0,0,0,R,OFF,0,0,0,X,OFF,0,0,0,OFF,OFF,0,0,0
4,25kHz,2V,SLOW2,0,AUTO,AUTO,0,0,5,OFF,100,Z,OFF,0,0,0,R,OFF,0,0,0,X,OFF,0,0,0,OFF,OFF,0,0,0
5,30kHz,2V,SLOW2,0,AUTO,AUTO,0,0,5,OFF,100,Z,OFF,0,0,0,R,OFF,0,0,0,X,OFF,0,0,0,OFF,OFF,0,0,0
6,35kHz,2V,SLOW2,0,AUTO,AUTO,0,0,5,OFF,100,Z,OFF,0,0,0,R,OFF,0,0,0,X,OFF,0,0,0,OFF,OFF,0,0,0
7,40kHz,2V,SLOW2,0,AUTO,AUTO,0,0,5,OFF,100,Z,OFF,0,0,0,R,OFF,0,0,0,X,OFF,0,0,0,OFF,OFF,0,0,0
8,45kHz,2V,SLOW2,0,AUTO,AUTO,0,0,5,OFF,100,Z,OFF,0,0,0,R,OFF,0,0,0,X,OFF,0,0,0,OFF,OFF,0,0,0
9,50kHz,2V,SLOW2,0,AUTO,AUTO,0,0,5,OFF,100,Z,OFF,0,0,0,R,OFF,0,0,0,X,OFF,0,0,0,OFF,OFF,0,0,0
10,55kHz,2V,SLOW2,0,AUTO,AUTO,0,0,5,OFF,100,Z,OFF,0,0,0,R,OFF,0,0,0,X,OFF,0,0,0,OFF,OFF,0,0,0
11,60kHz,2V,SLOW2,0,AUTO,AUTO,0,0,5,OFF,100,Z,OFF,0,0,0,R,OFF,0,0,0,X,OFF,0,0,0,OFF,OFF,0,0,0
12,65kHz,2V,SLOW2,0,AUTO,AUTO,0,0,5,OFF,100,Z,OFF,0,0,0,R,OFF,0,0,0,X,OFF,0,0,0,OFF,OFF,0,0,0
13,70kHz,2V,SLOW2,0,AUTO,AUTO,0,0,5,OFF,100,Z,OFF,0,0,0,R,OFF,0,0,0,X,OFF,0,0,0,OFF,OFF,0,0,0
14,75kHz,2V,SLOW2,0,AUTO,AUTO,0,0,5,OFF,100,Z,OFF,0,0,0,R,OFF,0,0,0,X,OFF,0,0,0,OFF,OFF,0,0,0
15,80kHz,2V,SLOW2,0,AUTO,AUTO,0,0,5,OFF,100,Z,OFF,0,0,0,R,OFF,0,0,0,X,OFF,0,0,0,OFF,OFF,0,0,0
16,85kHz,2V,SLOW2,0,AUTO,AUTO,0,0,5,OFF,100,Z,OFF,0,0,0,R,OFF,0,0,0,X,OFF,0,0,0,OFF,OFF,0,0,0
17,90kHz,2V,SLOW2,0,AUTO,AUTO,0,0,5,OFF,100,Z,OFF,0,0,0,R,OFF,0,0,0,X,OFF,0,0,0,OFF,OFF,0,0,0
18,95kHz,2V,SLOW2,0,AUTO,AUTO,0,0,5,OFF,100,Z,OFF,0,0,0,R,OFF,0,0,0,X,OFF,0,0,0,OFF,OFF,0,0,0
19,100kHz,2V,SLOW2,0,AUTO,AUTO,0,0,5,OFF,100,Z,OFF,0,0,0,R,OFF,0,0,0,X,OFF,0,0,0,OFF,OFF,0,0,0
20,105kHz,2V,SLOW2,0,AUTO,AUTO,0,0,5,OFF,100,Z,OFF,0,0,0,R,OFF,0,0,0,X,OFF,0,0,0,OFF,OFF,0,0,0
21,110kHz,2V,SLOW2,0,AUTO,AUTO,0,0,5,OFF,100,Z,OFF,0,0,0,R,OFF,0,0,0,X,OFF,0,0,0,OFF,OFF,0,0,0
22,115kHz,2V,SLOW2,0,AUTO,AUTO,0,0,5,OFF,100,Z,OFF,0,0,0,R,OFF,0,0,0,X,OFF,0,0,0,OFF,OFF,0,0,0
